532 2759
1 23 15
2 10 24
3 2 9
4 25 10
5 30 19
6 6 1
7 25 11
8 9 21
9 12 49
10 24 27
11 11 27
12 6 32
13 28 29
14 9 25
15 30 22
16 27 44
17 7 8
18 7 8
19 17 14
20 8 6
21 22 23
22 16 29
23 23 16
24 21 6
25 25 16
26 5 27
27 12 50
28 29 50
29 20 9
30 14 40
31 20 10
32 3 16
33 29 2
34 26 35
35 25 43
36 22 46
37 7 50
38 16 1
39 15 26
40 9 31
41 11 43
42 20 35
43 22 20
44 16 22
45 8 9
46 23 9
47 30 47
48 15 38
49 18 50
50 5 12
51 4 16
52 20 12
53 25 35
54 22 30
55 3 22
56 2 3
57 4 21
58 19 8
59 30 24
60 29 17
61 24 43
62 18 3
63 29 2
64 13 37
65 3 17
66 28 48
67 4 9
68 29 49
69 14 22
70 30 8
71 4 43
72 12 7
73 14 1
74 16 3
75 4 44
76 12 8
77 18 49
78 12 27
79 22 6
80 25 6
81 24 14
82 13 8
83 23 11
84 18 18
85 22 37
86 5 27
87 1 36
88 16 44
89 16 1
90 19 12
91 7 22
92 1 34
93 12 34
94 10 23
95 20 24
96 10 15
97 18 32
98 2 12
99 24 31
100 29 27
101 19 3
102 24 50
103 10 39
104 3 26
105 9 43
106 29 37
107 4 9
108 1 35
109 2 32
110 9 33
111 28 40
112 10 47
113 1 23
114 8 16
115 14 36
116 23 22
117 30 46
118 13 29
119 24 16
120 26 24
121 20 44
122 1 24
123 14 33
124 30 48
125 24 21
126 12 21
127 10 31
128 19 33
129 24 26
130 18 7
131 23 40
132 30 2
133 17 3
134 23 22
135 20 38
136 18 31
137 4 8
138 16 39
139 2 16
140 16 5
141 8 18
142 8 49
143 18 46
144 3 3
145 14 31
146 1 36
147 22 43
148 20 11
149 5 24
150 2 16
151 13 29
152 16 46
153 28 2
154 25 29
155 9 22
156 16 8
157 29 13
158 16 39
159 10 41
160 3 33
161 1 4
162 21 44
163 26 12
164 14 42
165 5 36
166 29 47
167 26 4
168 3 4
169 7 29
170 14 27
171 20 19
172 6 41
173 13 44
174 11 43
175 24 23
176 7 4
177 16 47
178 29 23
179 20 3
180 24 44
181 20 22
182 11 7
183 28 35
184 30 36
185 23 44
186 3 14
187 4 50
188 6 47
189 13 38
190 1 26
191 21 17
192 21 38
193 26 30
194 1 25
195 24 26
196 9 25
197 8 11
198 11 27
199 15 43
200 22 9
201 8 26
202 24 1
203 16 30
204 19 18
205 29 39
206 4 29
207 18 26
208 9 23
209 5 29
210 19 40
211 24 19
212 24 3
213 29 47
214 19 23
215 21 41
216 3 28
217 18 7
218 30 43
219 18 29
220 23 6
221 7 6
222 27 24
223 3 5
224 28 38
225 5 47
226 19 40
227 5 45
228 13 46
229 1 23
230 30 31
231 3 3
232 10 33
233 21 39
234 15 48
235 27 39
236 15 34
237 24 41
238 27 29
239 7 7
240 26 31
241 3 44
242 1 19
243 10 15
244 24 30
245 27 34
246 22 2
247 18 21
248 4 48
249 10 10
250 15 26
251 9 1
252 1 44
253 24 20
254 12 40
255 6 37
256 3 30
257 13 43
258 28 22
259 7 12
260 24 43
261 7 15
262 24 34
263 8 29
264 1 49
265 29 27
266 14 37
267 19 37
268 30 22
269 26 2
270 4 33
271 10 36
